"id","ta_abbr","tech_area","cntr_abbr","country","priority"
3587,"p1","National legislation, Policy and Financing","KOR","Korea","Ensure all hazards are covered under the core capacity strengthening in the National Health Plan, in accordance with IHR (2005)."
3588,"p1","National legislation, Policy and Financing","KOR","Korea","Consider reviewing which actions taken during public health emergencies could be implemented as policies instead of being enacted as legislation to enable rapid implementation of necessary actions during an emergency."
3589,"p2","IHR Coordination, Communication and Advocacy","KOR","Korea","Advance IHR implementation for health security by enhancing the existing multisectoral and multidisciplinary arrangements."
3590,"p2","IHR Coordination, Communication and Advocacy","KOR","Korea","Sustain the key function of the IHR NFP in event communications, public health emergency preparedness and response, and in IHR monitoring and evaluation."
3591,"p2","IHR Coordination, Communication and Advocacy","KOR","Korea","Ensure sustainable investment in health security through contribution to regional and international information sharing, risk assessment and coordinated response to public health emergencies.'"
3592,"p3","Antimicrobial Resistance","KOR","Korea","Monitor the implementation of the National Action Plan 2016 â€“ 2020 to achieve the high targets set for both human health and agriculture sectors, as indicated in the plan."
3593,"p3","Antimicrobial Resistance","KOR","Korea","Maintain and strengthen the One Health approach needed in promoting antimicrobial stewardship, implementing AMR surveillance, and encouraging information sharing."
3594,"p3","Antimicrobial Resistance","KOR","Korea","Document antimicrobial usage in agriculture (livestock, aquaculture, crops) at the farm level to better design stewardship and surveillance programmes."
3595,"p4","Zoonotic Disease","KOR","Korea","Further strengthen the function of the Zoonotic Disease Committee for multisectoral collaboration with the KCDC under the MOHW, MoE, MAFRA, and APQA through regular meetings, to improve the ongoing information exchange, joint risk assessments, prioritization and implementation of actions for zoonotic diseases."
3596,"p4","Zoonotic Disease","KOR","Korea","Reinforce surveillance and detection for suspicious zoonotic events, and develop laboratory testing algorithm for unknown pathogens."
3597,"p4","Zoonotic Disease","KOR","Korea","Strengthen real-time data sharing of zoonotic events between the human and animal health sectors."
3598,"p4","Zoonotic Disease","KOR","Korea","Continue and enhance collaboration between the field epidemiology training programme (FETP) and veterinary training to strengthen the One Health approach for zoonosis outbreak response in the ROK. Specifically, consider including veterinary staff into the national rapid response teams (RRTs) and having them join outbreak investigation activities in the ROK."
3599,"p5","Food Safety","KOR","Korea","Maintain and continue to advance the close collaboration and operational links between the different ministries under the National Food Safety Management System, including the functional mechanisms for detecting and responding to food-borne disease outbreaks and food safety events."
3600,"p5","Food Safety","KOR","Korea","Consider conducting joint simulation exercises to test the existing multisectoral mechanisms to respond to a large-scale food safety event that may constitute a public health emergency of international concern (PHEIC). Elements to be considered for the simulation exercise may include rapid information sharing, joint risk assessment, the decision-making process for activating and coordinating a response to a food safety emergency, operational communication between the IHR NFP and International Food Safety Authorities Network (INFOSAN), and risk communication."
3601,"p5","Food Safety","KOR","Korea","Consider exploring a regional or global cooperation on an integrated food safety management system to address the ROKâ€™s concerns on the safety of food purchased through e-commerce."
3602,"p6","Biosafety and Biosecurity","KOR","Korea","Finalize and publish the Korea Biosafety Standard and Guidelines with a comprehensive cross-sector review to ensure universal applicability in all facilities covered by the relevant biosafety and security regulations."
3603,"p6","Biosafety and Biosecurity","KOR","Korea","Conduct training of trainers for biosafety officers and relevant oversight staff, and training for facility managers and workers, in all registered institutions after the publication of Korea Biosafety Standard and Guidelines."
3604,"p6","Biosafety and Biosecurity","KOR","Korea","Consider conducting a review of biosafety and biosecurity regulations to identify potentially conflicting requirements in different regulations"
3605,"p7","Immunization","KOR","Korea","Consider narrowing the gap between the first and second doses of MMR vaccination (currently at the age of 12-15 months and 4-6 years) to prevent the accumulation of susceptible children."
3606,"d1","National Laboratory System","KOR","Korea","Consider evaluating the necessity for mandatory participation in EQA programmes conforming to international quality standards for both public and privately-operated public health, environmental health, veterinary and clinical microbiological laboratories, in the Republic of Korea context."
3607,"d1","National Laboratory System","KOR","Korea","Explore opportunities to require accreditation of laboratory diagnostic services by independent bodies at all levels, including at the KCDC."
3608,"d1","National Laboratory System","KOR","Korea","Consider increasing operational awareness between the KCDC and the Food and Drug Administration in relation to food and water-borne epidemics through various information exchange channels."
3609,"d1","National Laboratory System","KOR","Korea","Consider implementing bio-banking of selected pathogens by sending primary specimens systematically to the KCDC for prospective and retrospective epidemiological analyses."
3610,"d2","Real Time Surveillance","KOR","Korea","Consider longer staff postings for EBS and risk assessment to build competency and experience."
3611,"d2","Real Time Surveillance","KOR","Korea","Consider conducting regular reviews of the list of national notifiable infectious diseases."
3612,"d2","Real Time Surveillance","KOR","Korea","Consider making use of the syndromic surveillance system for additional purposes such as monitoring public health emergencies."
3613,"d3","Reporting","KOR","Korea","Consider further strengthening the role of IHR NFP to ensure effective coordination and communication with other sectors including agriculture, animal health, food and drug safety, points of entry (PoEs), public safety and security, environment, and other relevant sectors."
3614,"d3","Reporting","KOR","Korea","Consider incorporating IHR verification, risk assessment, notification and reporting into the national joint training and simulation exercises for human and animal health professionals."
3615,"d3","Reporting","KOR","Korea","Ensure decision-makers in both the human and animal health sectors are consulted in the risk assessment and decision-making process during a zoonosis event."
3616,"d4","Workforce Development","KOR","Korea","Create a multidisciplinary, all-hazards, One Health, national public health workforce strategy that includes workforce from both the government and private institutions. This workforce strategy should include staff recruitment, training, utilization, and retention. The ROK may also consider creating an electronic roster of this workforce to be later integrated into the joint utilization system being developed by the MoIS. Ensure expanded inclusion of veterinarians into FETP and inclusion of additional disciplines in RRTs within this strategy."
3617,"d4","Workforce Development","KOR","Korea","Reinforce and expand the FETP program, especially to increase the public health workforce at the subnational level."
3618,"d4","Workforce Development","KOR","Korea","Enhance the process for sending, and develop the process for receiving, public health RRTs and emergency medical teams (EMTs), both within and outside of the ROK. This should take into consideration the necessary legal, regulatory, and medical procedures."
3619,"r1","Preparedness","KOR","Korea","Establish an annual schedule to update the national risk profiles and resource requirements based on annual reviews of public health threats across all sectors."
3620,"r1","Preparedness","KOR","Korea","Clarify authorities at each level of government to carry out each organizationâ€™s roles and responsibilities when multiple levels of government are involved in a response."
3621,"r1","Preparedness","KOR","Korea","Expand the existing exercise programme to integrate all supporting sectors and partners, to integrate exercises between different levels of government, and to track the progress of necessary improvements."
3622,"r1","Preparedness","KOR","Korea","Complete the development of the national resource utilization system to support coordinated resource requisition, mobilization, and deployment at all levels of government and across all sectors."
3623,"r2","Emergency Response Operations","KOR","Korea","Expand training to include senior officials and other staff within the KCDC who will work under the IMS once the EOC is activated, such as incident command and other supporting roles."
3624,"r2","Emergency Response Operations","KOR","Korea","Review the resources required to initiate, escalate and maintain a sustainable public health EOC at all levels during a protracted public health emergency."
3625,"r2","Emergency Response Operations","KOR","Korea","Consider developing a database to capture information related to EOC management and operations to include information such as registers of trained staff, contact details of subject matter experts, and tracking of allocated resources."
3626,"r3","Linking Public Health and Security Authorities","KOR","Korea","Continue to strengthen the linkage between public health and security authorities and consider developing scenario-based response contingency plans, including multisectoral collaboration to develop risk communication messages."
3627,"r4","Medical Countermeasures and Personnel Deployment","KOR","Korea","Develop an approach with regional partners to jointly share and mobilize stockpiles of medical countermeasures during public health emergencies."
3628,"r4","Medical Countermeasures and Personnel Deployment","KOR","Korea","Develop a comprehensive manual for those being trained and considered for international deployments. The manual may include elements to consider prior to, during, and after returning from deployment."
3629,"r4","Medical Countermeasures and Personnel Deployment","KOR","Korea","Consider reviewing the current position and consider establishing a system of receiving international health personnel."
3630,"r5","Risk Communication","KOR","Korea","Enhance the functionality of a coherent risk communication system by developing and testing operational arrangements and guidelines for managing communication for all hazards across Ministries, at the national and local levels, and with other partners and stakeholders."
3631,"r5","Risk Communication","KOR","Korea","Integrate risk communication and community engagement into risk assessment procedures and rapid response operations."
3632,"r5","Risk Communication","KOR","Korea","Further improve timely, accurate and transparent public communication and efficient rumour management by enhancing implementation of information disclosure during public health emergencies."
3633,"r5","Risk Communication","KOR","Korea","Address the communication needs of all audiences, including developing content in other languages."
3634,"r5","Risk Communication","KOR","Korea","Continue to train core staff of the Office of Communication in KCDC and in other ministries to bolster various risk communication capacities beyond media and public communication."
3635,"poe","Points of Entry","KOR","Korea","Consider a paradigm shift from an emphasis on measures to stop infectious diseases at PoEs to explore other public health measures to limit the impact and spread of imported infectious diseases. Specifically, the ROK may consider the following four public health measures: Ensure that all hospitals have comprehensive hospital infection control measures in place and that medical staff are trained to ask for overseas travel history from all ill patients and their families in the emergency room. This is in recognition that the â€œpoint of entryâ€ of infectious diseases is no longer at the border (airport or seaport), but rather â€œat the doorâ€ of the local hospital where the travellers who become ill after arrival will seek medical care. Ensure that travellers have access to pre-travel health information, vaccinations and necessary medications (e.g., malaria prophylaxis). To some extent, this is being met by current services such as the KCDC Call Centre (1339). Ensure that travellers have access to post-travel information on what to do and whom to call if they become ill after returning from their trip. To some extent, this is being met by current services. Maintain trained quarantine officials at major POEs to respond and assess ill persons on board reported by the captains of vessels. Ensure that there are rapid transportation systems to designated hospitals if hospitalization is warranted and that there is sufficient information to identify and locate possible contacts of ill persons."
3636,"poe","Points of Entry","KOR","Korea","Consider conducting cost-effectiveness studies of the current border health measures and quarantine system at PoEs to evaluate the extensive system developed in the ROK under the revised Quarantine Act. This would also provide valuable information for other nations that are contemplating creating similar systems of their own."
3637,"ce","Chemical Emergencies","KOR","Korea","Establish a national poison control center in accordance with the recommendations of the International Programme on Chemical Safety, building upon the existing toxicity research programmes at the NIER, the National Institute of Food and Drug Safety Evaluation, and the National Academy of Agricultural Science."
3638,"ce","Chemical Emergencies","KOR","Korea","Expand the national public health exercise programme to include exercises that test the health systemâ€™s readiness to execute its responsibilities in a chemical response."
3639,"ce","Chemical Emergencies","KOR","Korea","Establish an integrated chemical management system for consumer products."
3640,"ce","Chemical Emergencies","KOR","Korea","Consider aggregating existing chemical monitoring activities into an integrated national chemical surveillance system to provide a real-time common operating picture of chemical threats and exposures to all relevant stakeholders."
3641,"re","Radiation Emergencies","KOR","Korea","Develop a regional nuclear/radiological information sharing and response strategy with neighbouring countries."
3642,"re","Radiation Emergencies","KOR","Korea","Continue to investigate and strengthen the capacities of nuclear facilities for resilience to seismic and other natural disaster threats."
3643,"re","Radiation Emergencies","KOR","Korea","Continue to strengthen community engagement and risk communications activities regarding radiation emergencies."
3644,"re","Radiation Emergencies","KOR","Korea","Expand the national qualified health physics and radiobiology workforce through the national workforce strategy."
3645,"p1","National legislation, Policy and Financing","GIN","Guinea","Strengthen the country's capacity in terms of legislation for the implementation of the IHR, through the establishment of a working group of lawyers from relevant ministries and partners for the elaboration or adoption of texts to popularize."
3646,"p1","National legislation, Policy and Financing","GIN","Guinea","Set up a strategy for a national budget line for financing the implementation of RSI."
3647,"p1","National legislation, Policy and Financing","GIN","Guinea","Formalize regular monthly or quarterly or ad hoc cross-border meetings (even in lull) with all stakeholders and neighboring countries."
3648,"p2","IHR Coordination, Communication and Advocacy","GIN","Guinea","Accelerate the formalization and validation of NOMs (Standard Operating Procedures) and existing multi-sectoral collaboration procedures for coordinating PFNRSI with other sectors."
3649,"p2","IHR Coordination, Communication and Advocacy","GIN","Guinea","Mobilize and guarantee the necessary resources (including financial resources) for the proper functioning of the PFNRSI, in order to guarantee a timely sharing of information between the different sectors."
3650,"p2","IHR Coordination, Communication and Advocacy","GIN","Guinea","Proceed with the signing of the draft ""one health"" decree and implement the project through the formation of a multisectoral and multidisciplinary committee meeting the requirements of the IHR"
3651,"p2","IHR Coordination, Communication and Advocacy","GIN","Guinea","Prepare and form the multisectoral and multidisciplinary committee on surveillance and response to public health emergencies."
3652,"p3","Antimicrobial Resistance","GIN","Guinea","Develop and validate an integrated multisectoral national plan for prevention, surveillance and response to antimicrobial resistance and healthcare-associated infections."
3653,"p3","Antimicrobial Resistance","GIN","Guinea","Strengthen the laboratory diagnostic capabilities of antimicrobial resistant pathogens"
3654,"p3","Antimicrobial Resistance","GIN","Guinea","Strengthen the capacities of health actors in the fight against nosocomial infections."
3655,"p4","Zoonotic Disease","GIN","Guinea","Adapt regulation to better support surveillance and response to zoonoses under the ""one health"" approach."
3656,"p4","Zoonotic Disease","GIN","Guinea","Strengthen multisectoral coordination and collaboration of animal health, human health and wildlife actors."
3657,"p4","Zoonotic Disease","GIN","Guinea","Strengthen the capacity of actors in the implementation of the ""one health"" approach."
3658,"p5","Food Safety","GIN","Guinea","Establish a mechanism to detect and respond to foodborne illness and food contamination."
3659,"p5","Food Safety","GIN","Guinea","Organize a surveillance system for food safety."
3660,"p6","Biosafety and Biosecurity","GIN","Guinea","Develop and implement legislative and regulatory texts, standards and guidelines to strengthen national capacities in biosafety and biosecurity."
3661,"p6","Biosafety and Biosecurity","GIN","Guinea","Set up joint training courses in biosafety and biosafety."
3662,"p7","Immunization","GIN","Guinea","Strengthen intersectoral collaboration (Ministers of Health, Livestock and Agriculture) in the field of human and animal vaccination through the pooling of interventions at all levels."
3663,"p7","Immunization","GIN","Guinea","Strengthen the implementation of the ACD / ACE approach (reaching each district / reaching every child) for the revival of routine immunization."
3664,"p7","Immunization","GIN","Guinea","Promote advocacy initiatives for mobilizing domestic / local resources for immunization."
3665,"d1","National Laboratory System","GIN","Guinea","Establish a multidisciplinary technical group to reflect on the development of a national laboratory policy and strategy."
3666,"d1","National Laboratory System","GIN","Guinea","Establish a harmonized and functional system for the secure delivery of samples from the peripheral level to the central level."
3667,"d1","National Laboratory System","GIN","Guinea","Strengthen LNERV's capacity to detect priority zoonoses."
3668,"d2","Real Time Surveillance","GIN","Guinea","Strengthen the multisectoral surveillance system at the community level."
3669,"d2","Real Time Surveillance","GIN","Guinea","Strengthen the integration of hospitals and the private sector into the surveillance system."
3670,"d2","Real Time Surveillance","GIN","Guinea","Set up an event monitoring system with efficient signal sorting, validation and dissemination mechanisms."
3671,"d2","Real Time Surveillance","GIN","Guinea","Strengthen the implementation and use of DHIS2 at the operational level."
3672,"d2","Real Time Surveillance","GIN","Guinea","Strengthen the real-time sharing of useful epidemiological information, based on a list of identified common priority zoonoses, between the human health and animal health sectors."
3673,"d3","Reporting","GIN","Guinea","Conduct an overall assessment of potential public health emergencies within a multisectoral consultation framework."
3674,"d3","Reporting","GIN","Guinea","Establish procedures or mechanisms for collaboration and information-sharing between different sectors to improve the timeliness of notification to WHO of any public health emergency."
3675,"d3","Reporting","GIN","Guinea","Develop standard and integrated operating procedures for the approval and notification of a potential public health emergency based on Annex 2 of the IHR."
3676,"d4","Workforce Development","GIN","Guinea","Implement human resource development plans for animal health and other relevant sectors for the IHR, and update the human resources development plan for public health."
3677,"d4","Workforce Development","GIN","Guinea","Sustain the national FETP program by including all relevant sectors."
3678,"d4","Workforce Development","GIN","Guinea","Set up a device and career plan to keep staff in difficult areas."
3679,"r1","Preparedness","GIN","Guinea","Establish a multi-sectoral management authority for the development of the multi-hazard plan."
3680,"r1","Preparedness","GIN","Guinea","Develop, validate and test the national contingency plan for preparing and responding to public health emergencies."
3681,"r1","Preparedness","GIN","Guinea","Conduct a mapping of resources and update the mapping of public health risks."
3682,"r2","Emergency Response Operations","GIN","Guinea","Develop a multisectoral emergency response plan."
3683,"r2","Emergency Response Operations","GIN","Guinea","Guarantee a long-term financing mechanism for the ANSS and the COU with the state and partners to ensure in particular the training and exercise policy."
3684,"r2","Emergency Response Operations","GIN","Guinea","Develop the necessary procedures for the functioning of the EOC and its response capacity to emergencies of human, animal and environmental origin."
3685,"r3","Linking Public Health and Security Authorities","GIN","Guinea","Establish a formal multisectoral collaboration framework."
3686,"r3","Linking Public Health and Security Authorities","GIN","Guinea","Establish procedures to ensure multisectoral collaboration."
3687,"r4","Medical Countermeasures and Personnel Deployment","GIN","Guinea","Develop and validate a multisectoral national contingency plan for sending and receiving medical devices in the territory, including regulatory, logistical and security dimensions."
3688,"r4","Medical Countermeasures and Personnel Deployment","GIN","Guinea","Develop a strategic plan to ensure a pool of medical facilities in the event of a public health emergency and ensure storage at the central and regional level."
3689,"r4","Medical Countermeasures and Personnel Deployment","GIN","Guinea","In collaboration with the EOC, develop procedures for the dispatch of health personnel in the event of a health emergency including the reception of international support staff."
3690,"r4","Medical Countermeasures and Personnel Deployment","GIN","Guinea","Develop a partnership with regional and international networks to contribute to development and capacity-building initiatives at the regional and international levels."
3691,"r5","Risk Communication","GIN","Guinea","Develop a national multisectoral communication plan on public health risks."
3692,"r5","Risk Communication","GIN","Guinea","Formalize multisectoral framework for risk coordination and communication."
3693,"r5","Risk Communication","GIN","Guinea","Develop, validate and apply protocols and procedures on rumor management."
3694,"poe","Points of Entry","GIN","Guinea","Finalize the analysis of entry points in accordance with Annex 1, B.1.a of the IHR for the designation of official RSI entry points."
3695,"poe","Points of Entry","GIN","Guinea","Develop integrated emergency response plans to respond to public health emergencies at ports of entry."
3696,"poe","Points of Entry","GIN","Guinea","Improve health infrastructure and equipment at official entry point levels."
3697,"ce","Chemical Emergencies","GIN","Guinea","Establish a formal multisectoral collaboration framework for chemical risk and event management."
3698,"ce","Chemical Emergencies","GIN","Guinea","Establish a multi-sector plan for monitoring and managing chemical events."
3699,"ce","Chemical Emergencies","GIN","Guinea","Set up a surveillance system for chemical events, poisoning and poisoning."
3700,"re","Radiation Emergencies","GIN","Guinea","Establish a formal multisectoral collaboration framework for radiological and nuclear risk management."
3701,"re","Radiation Emergencies","GIN","Guinea","Put in place regulations on the monitoring, prevention and management of events of radiological and nuclear origin."
3702,"re","Radiation Emergencies","GIN","Guinea","Develop a national action plan for radiological and nuclear emergency management."
3703,"p1","National legislation, Policy and Financing","MLI","Mali","Organize an intersectoral meeting to finalize the inventory of legislation and approve the texts for the implementation of the IHR (2005)."
3704,"p1","National legislation, Policy and Financing","MLI","Mali","Conduct an overall assessment and in-depth review of the legislative and regulatory texts of the sectors concerned by the implementation of the IHR (2005)."
3705,"p1","National legislation, Policy and Financing","MLI","Mali","Develop the texts needed to implement the IHR (2005) in consultation with all sectors concerned and monitor their implementation."
3706,"p1","National legislation, Policy and Financing","MLI","Mali","Implement legislation and policies in all sectors."
3707,"p2","IHR Coordination, Communication and Advocacy","MLI","Mali","Appoint the members of PFNRSI by law (interministerial decree or decree)."
3708,"p2","IHR Coordination, Communication and Advocacy","MLI","Mali","Train members of PFNRSI and other authorities on the IHR (2005) and the main functions of PFNRSI."
3709,"p2","IHR Coordination, Communication and Advocacy","MLI","Mali","Jointly develop SOPs (Operating Protocols) to facilitate coordination, communication and promotion of the IHR (2005) in Mali."
3710,"p2","IHR Coordination, Communication and Advocacy","MLI","Mali","Establish an operational exchange platform to institutionalize the One Health approach at the different levels of the health system."
3711,"p2","IHR Coordination, Communication and Advocacy","MLI","Mali","Conduct regular simulation exercises to test the coordination capabilities of PFNRSI."
3712,"p3","Antimicrobial Resistance","MLI","Mali","Develop and implement a comprehensive national plan for the detection and reporting of priority antimicrobial resistant pathogens, covering human and animal health, agriculture, food and the environment as part of the only health ""."
3713,"p3","Antimicrobial Resistance","MLI","Mali","Implement RAM capacity building plan and laboratory capacity."
3714,"p3","Antimicrobial Resistance","MLI","Mali","Develop and implement a national antimicrobial stewardship plan."
3715,"p3","Antimicrobial Resistance","MLI","Mali","Put in place organizational measures (nosocomial infection control committees) to reduce nosocomial infections at all levels."
3716,"p3","Antimicrobial Resistance","MLI","Mali","Develop an information and awareness program on AMR in the different sectors."
3717,"p4","Zoonotic Disease","MLI","Mali","Finalize and validate the ""National integrated plan for the fight against zoonoses in Mali"" taking into account the identified priority zoonoses."
3718,"p4","Zoonotic Disease","MLI","Mali","Strengthen the network of national territory in the field of animal health: expand animal health services by assigning at least two agents per veterinary post."
3719,"p4","Zoonotic Disease","MLI","Mali","Ensure the functionality of the Epivet-Mali network, notably by strengthening the material and financial resources."
3720,"p4","Zoonotic Disease","MLI","Mali","Put in place an integrated consultation framework involving all stakeholders in the fight against major zoonoses."
3721,"p5","Food Safety","MLI","Mali","Establish a formal mechanism for coordination of food safety control activities, accompanied by a coordinated response plan."
3722,"p5","Food Safety","MLI","Mali","Design, validate and disseminate tools for notification and investigation (POS) of cases of foodborne illness."
3723,"p5","Food Safety","MLI","Mali","Within the framework of the coordination of public health laboratories, integrate the need for capacity building for food analysis: to study the opportunity of creating a dedicated laboratory within ANSSA, or to complete and organize the network of existing laboratories (especially for drug residues)."
3724,"p5","Food Safety","MLI","Mali","Set up a fixed team of effective surveillance."
3725,"p5","Food Safety","MLI","Mali","Conduct an assessment of the health risks associated with staple foods in Mali."
3726,"p6","Biosafety and Biosecurity","MLI","Mali","Provide the country with appropriate legislation for biological safety and security."
3727,"p6","Biosafety and Biosecurity","MLI","Mali","Maintain an up-to-date registry and inventory of pathogens in structures that store or handle pathogens, toxins or other hazardous substances."
3728,"p6","Biosafety and Biosecurity","MLI","Mali","Develop and implement a national multisectoral training and education program on biosafety and biosecurity."
3729,"p6","Biosafety and Biosecurity","MLI","Mali","Establish a national program for external and internal biological risk assessment"
3730,"p7","Immunization","MLI","Mali","Develop and implement a national EPI enhancement plan (fixed, advanced and mobile strategies, cold chain maintenance plan) in all health districts of the country to increase measles immunization coverage in children under 10 years of age 12 months and go from 72.9% to 95% at least."
3731,"p7","Immunization","MLI","Mali","Establish coordination with the animal sector in the development of strategic plans (multi-year comprehensive plan, etc.) to expand the delivery of vaccines to zoonoses."
3732,"p7","Immunization","MLI","Mali","Develop an advocacy strategy with the state and technical and financial partners so that the cold chain is available in at least 60% of the structures."
3733,"d1","National Laboratory System","MLI","Mali","Strengthen the EPI at all levels (central, intermediate and peripheral) with sufficiently competent human resources."
3734,"d1","National Laboratory System","MLI","Mali","Establish a regular supply mechanism for laboratory inputs throughout the country."
3735,"d1","National Laboratory System","MLI","Mali","Establish a mechanism for collaboration between laboratories involved in the diagnosis of diseases with epidemic potential by integrating laboratories from other sectors."
3736,"d1","National Laboratory System","MLI","Mali","Improve the system of transfer and transport of samples throughout the national territory as well as abroad."
3737,"d1","National Laboratory System","MLI","Mali","Develop and implement a laboratory equipment maintenance plan and a national quality assurance program for laboratories in different sectors."
3738,"d2","Real Time Surveillance","MLI","Mali","Strengthen the implementation of the interoperable and interconnected notification system at the multisectoral level, respecting the One Health approach."
3739,"d2","Real Time Surveillance","MLI","Mali","Put in place event-based monitoring at all levels including the community level."
3740,"d2","Real Time Surveillance","MLI","Mali","Strengthen capacity in data management and analysis at all levels (intervention epidemiology training) and implement the IDSR strategic plan and disseminate the guide at all levels."
3741,"d3","Reporting","MLI","Mali","Put in place a coordination mechanism between the RSI Focal Point and the other sectors."
3742,"d3","Reporting","MLI","Mali","Develop regulations and multisectoral notification procedures."
3743,"d3","Reporting","MLI","Mali","Develop and implement simulation exercise programs to improve reporting and collaboration between relevant sectors."
3744,"d4","Workforce Development","MLI","Mali","Develop and implement a comprehensive human resource development strategy that addresses the human, animal and environmental health sectors."
3745,"d4","Workforce Development","MLI","Mali","Strengthen the capacity of actors in field epidemiology (basic, intermediate and advanced capacity) at all levels."
3746,"r1","Preparedness","MLI","Mali","Finalize, validate and implement a multi-sector national public health emergency preparedness and response plan to ensure the core capacity required under the IHR (2005)."
3747,"r1","Preparedness","MLI","Mali","Complete mapping of national resources (human, logistical, financial, etc.) for IHR hazards (2005) and priority risks to develop a national resource management and distribution plan."
3748,"r1","Preparedness","MLI","Mali","Organize regular simulation exercises to test the plans developed."
3749,"r1","Preparedness","MLI","Mali","Strengthen the availability of inputs and medicines at the level of structures responsible for the management of health emergencies."
3750,"r2","Emergency Response Operations","MLI","Mali","Develop and implement emergency operational procedures and plans."
3751,"r2","Emergency Response Operations","MLI","Mali","Develop and implement a capacity building plan for emergency responders at all levels (multisectoral, central and decentralized)."
3752,"r2","Emergency Response Operations","MLI","Mali","Develop and implement a simulation exercise program."
3753,"r2","Emergency Response Operations","MLI","Mali","Finalize the process of the regulatory framework for the creation of the DOU-SP allowing among other things the definition of a formal mechanism of collaboration and coordination with the services or key directions and the sectors concerned by the management of health emergencies."
3754,"r2","Emergency Response Operations","MLI","Mali","Develop and implement a resource mobilization plan (human, material and financial) for the benefit of the DOU-SP."
3755,"r3","Linking Public Health and Security Authorities","MLI","Mali","Develop and implement a memorandum of understanding or other agreement (protocol) between the public health sector and the national security authorities."
3756,"r3","Linking Public Health and Security Authorities","MLI","Mali","Establish a framework for collaboration and consultation between the public health sector and the authorities responsible for national security."
3757,"r3","Linking Public Health and Security Authorities","MLI","Mali","Organize simulation exercises."
3758,"r4","Medical Countermeasures and Personnel Deployment","MLI","Mali","Develop an integrated plan for sending and receiving medical devices during a public health emergency in human and animal health."
3759,"r4","Medical Countermeasures and Personnel Deployment","MLI","Mali","Strengthen the training of the personnel assigned to the reception and the sending of the medical means."
3760,"r4","Medical Countermeasures and Personnel Deployment","MLI","Mali","Develop and implement a multisectoral staff deployment plan during a public health emergency (including staffing)."
3761,"r5","Risk Communication","MLI","Mali","Establish a multisectoral risk communication coordination framework."
3762,"r5","Risk Communication","MLI","Mali","Develop a national risk communication plan based on existing communication plans in the health sector and other sectors."
3763,"r5","Risk Communication","MLI","Mali","Develop and disseminate manuals for risk communication procedures, including a manual of rumor management procedures."
3764,"r5","Risk Communication","MLI","Mali","Develop and implement a capacity building plan for communication stakeholders identified from multisectoral and multi-level human resources mapping."
3765,"r5","Risk Communication","MLI","Mali","Develop and implement a resource mobilization plan (human, material and financial) for the dissemination of messages, especially in times of health emergency."
3766,"poe","Points of Entry","MLI","Mali","Designate an appropriate number of entry points, taking into account resources, human travel and funding; and to establish at all these points of entry the essential multi-sectoral capacity and appropriate medical services, including diagnostic means for the examination and prompt handling of ill travelers, personnel, equipment and adequate premises."
3767,"poe","Points of Entry","MLI","Mali","Establish a functional supervision system at entry point level."
3768,"poe","Points of Entry","MLI","Mali","Finalize the national strategic emergency management plan and share it with all stakeholders."
3769,"poe","Points of Entry","MLI","Mali","Develop standardized multi-sector and multi-sector Operational Protocols (SOPs) and train all stakeholders at all points of entry into the National Emergency Management Plan and its protocols."
3770,"poe","Points of Entry","MLI","Mali","Practice the proper use of POS through regular simulation exercises with all actors and at all entry points."
3771,"ce","Chemical Emergencies","MLI","Mali","Harmonize the legal arsenal and put in place a manual on the monitoring, evaluation and management of chemicals and chemical-related events."
3772,"ce","Chemical Emergencies","MLI","Mali","Inventory and strengthen the capacity of toxicological analysis laboratories."
3773,"ce","Chemical Emergencies","MLI","Mali","Set up a National Poison Control and Toxicovigilance Center."
3774,"ce","Chemical Emergencies","MLI","Mali","Establish a coordination mechanism among all stakeholders in chemical safety, industry, transportation, safe product disposal and health."
3775,"ce","Chemical Emergencies","MLI","Mali","Develop an intersectoral action plan that includes monitoring, alerting and responding to a chemical event."
3776,"re","Radiation Emergencies","MLI","Mali","Organize seminars to sensitize senior medical personnel to Radiation Protection and Radiological Medical Emergencies, and then create a Radiation Protection Module as part of the Advanced Medical University curriculum."
3777,"re","Radiation Emergencies","MLI","Mali","Finalize Mali's national radiological emergency plan, including the responsibilities assigned to each actor in this plan."
3778,"re","Radiation Emergencies","MLI","Mali","Use already existing means for the evaluation of internal contamination. To this end, establish a framework agreement between the hospitals and AMARAP."
3779,"re","Radiation Emergencies","MLI","Mali","Establish a hospital triage protocol for radiological injuries based on cross-checking of symptomatic observations and haematological examinations using the METREPOL approach."
3780,"re","Radiation Emergencies","MLI","Mali","Set up a hotline system of available radiological expertise available 24/7."
3781,"p1","National legislation, Policy and Financing","CMR","Cameroon","Establish an intersectoral committee integrating the legal services of the ministerial departments concerned with the implementation of the IHR (2005) to carry out a systematic analysis of the national legislation / regulations in relation to the implementation of the IHR (2005) in order to identify the deficiencies to be corrected."
3782,"p1","National legislation, Policy and Financing","CMR","Cameroon","Adapt if necessary by regulatory and / or legislative means to facilitate the implementation of the IHR (2005) for the results of the review."
3783,"p1","National legislation, Policy and Financing","CMR","Cameroon","Advocate with the State and technical and financial partners to technically and financially support the implementation of the IHR (2005)."
3784,"p1","National legislation, Policy and Financing","CMR","Cameroon","Advocate with the government for a sustainable source of IHR funding (2005)."
